"","seqnames","start","end","width","strand","sampleName","median","mean","CN"
"1","Scaffold_1863_HRSCAF_2081",7810001,7850000,40000,"*","SRR10160664_finalmap_RG.bam",0.877990409039854,0.698402875746425,"CN4"
"2","Scaffold_1863_HRSCAF_2081",8390001,8420000,30000,"*","SRR10160674_finalmap_RG.bam",-0.964078229838071,-0.709439330410799,"CN1"
"3","Scaffold_1863_HRSCAF_2081",10220001,10250000,30000,"*","SRR10160683_finalmap_RG.bam",0.583561466844326,0.629168544095232,"CN3"
"4","Scaffold_1863_HRSCAF_2081",3590001,3620000,30000,"*","SRR10160687_finalmap_RG.bam",1.05228402800042,1.01494929838155,"CN4"
"5","Scaffold_1863_HRSCAF_2081",6730001,6760000,30000,"*","SRR10160687_finalmap_RG.bam",0.59301720368812,0.593601824465319,"CN3"
"6","Scaffold_1863_HRSCAF_2081",7610001,7640000,30000,"*","SRR10160690_finalmap_RG.bam",0.785514098411988,0.765430669210096,"CN4"
"7","Scaffold_1863_HRSCAF_2081",8340001,8370000,30000,"*","SRR10160690_finalmap_RG.bam",0.582669402327264,0.559511947406709,"CN3"
"8","Scaffold_1863_HRSCAF_2081",5430001,5460000,30000,"*","SRR10160691_finalmap_RG.bam",0.642875160155762,0.554327121056959,"CN3"
"9","Scaffold_1863_HRSCAF_2081",7960001,7990000,30000,"*","SRR10160691_finalmap_RG.bam",0.534089754473989,0.370403910389222,"CN3"
"10","Scaffold_1863_HRSCAF_2081",8400001,8430000,30000,"*","SRR10160691_finalmap_RG.bam",-0.930103639021875,-0.660892322814305,"CN1"
"11","Scaffold_1863_HRSCAF_2081",9400001,9440000,40000,"*","SRR10160691_finalmap_RG.bam",0.552897391250448,0.52594338210384,"CN4"
"12","Scaffold_1863_HRSCAF_2081",7600001,7640000,40000,"*","SRR12689208_finalmap_RG.bam",0.507635301487495,0.468895473120388,"CN3"
"13","Scaffold_1863_HRSCAF_2081",9080001,9130000,50000,"*","SRR12689208_finalmap_RG.bam",0.898687700388981,0.636453774087673,"CN3"
"14","Scaffold_1863_HRSCAF_2081",9530001,9560000,30000,"*","SRR12689208_finalmap_RG.bam",0.529593134143811,0.374978135046414,"CN3"
"15","Scaffold_1863_HRSCAF_2081",9990001,10030000,40000,"*","SRR12689208_finalmap_RG.bam",0.600343800024113,0.606489676233351,"CN3"
"16","Scaffold_1863_HRSCAF_2081",10210001,10250000,40000,"*","SRR12689208_finalmap_RG.bam",0.580313040497154,0.453383574303321,"CN3"
"17","Scaffold_1863_HRSCAF_2081",10280001,10320000,40000,"*","SRR12689208_finalmap_RG.bam",0.573581778081136,0.539190682400845,"CN3"
"18","Scaffold_1863_HRSCAF_2081",7600001,7640000,40000,"*","SRR12689209_finalmap_RG.bam",0.587620357123677,0.626236163343004,"CN3"
"19","Scaffold_1863_HRSCAF_2081",2150001,2180000,30000,"*","SRR12689210_finalmap_RG.bam",0.584430325413129,0.675660359560613,"CN5"
